Number of Features,Accumulated Feature Importance
100,0.6923571215799404
200,0.798539190291174
300,0.8547296672900754
400,0.8938704292181116
500,0.9233300704903814
600,0.9470445917475978
700,0.9652441807599215
800,0.9786387135294798
900,0.9883840745561763
1000,0.9950054037903098
1100,0.9989836732781439
1200,1.0
