,f1-score,precision,recall,support
0,0.9770114942528736,0.9770114942528736,0.9770114942528736,87.0
1,0.9821428571428572,0.975177304964539,0.9892086330935251,278.0
2,0.9666666666666666,0.9886363636363636,0.9456521739130435,92.0
accuracy,0.9781181619256017,0.9781181619256017,0.9781181619256017,0.9781181619256017
macro avg,0.9752736726874658,0.9802750542845922,0.9706241004198141,457.0
weighted avg,0.9780504324268,0.9782359655025981,0.9781181619256017,457.0
